,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,scale_clarity,scale_color,validate_z
0,1,0.23,Ideal,E,SI2,61.5,55.0,326.0,3.95,3.98,2.43,1,5,False
1,2,0.21,Premium,E,SI1,59.8,61.0,326.0,3.89,3.84,2.31,2,5,False
2,3,0.23,Good,E,VS1,56.9,65.0,327.0,4.05,4.07,2.31,4,5,False
3,4,0.29,Premium,I,VS2,62.4,58.0,334.0,4.2,4.23,2.63,3,1,False
4,5,0.31,Good,J,SI2,63.3,58.0,335.0,4.34,4.35,2.75,1,0,False
5,6,0.24,Very Good,J,VVS2,62.8,57.0,336.0,3.94,3.96,2.48,5,0,False
6,7,0.24,Very Good,I,VVS1,62.3,57.0,336.0,3.95,3.98,2.47,6,1,False
7,8,0.26,Very Good,H,SI1,61.9,55.0,337.0,4.07,4.11,2.53,2,2,False
8,9,0.22,Fair,E,VS2,65.1,61.0,337.0,3.87,3.78,2.49,3,5,False
9,10,0.23,Very Good,H,VS1,59.4,61.0,338.0,4.0,4.05,2.39,4,2,False
10,11,0.3,Good,J,SI1,64.0,55.0,339.0,4.25,4.28,2.73,2,0,False
11,12,0.23,Ideal,J,VS1,62.8,56.0,340.0,3.93,3.9,2.46,4,0,False
12,13,0.22,Premium,F,SI1,60.4,61.0,342.0,3.88,3.84,2.33,2,4,False
13,14,0.31,Ideal,J,SI2,62.2,54.0,344.0,4.35,4.37,2.71,1,0,False
14,15,0.2,Premium,E,SI2,60.2,62.0,345.0,3.79,3.75,2.27,1,5,False
15,16,0.32,Premium,E,I1,60.9,58.0,345.0,4.38,4.42,2.68,0,5,False
16,17,0.3,Ideal,I,SI2,62.0,54.0,348.0,4.31,4.34,2.68,1,1,False
17,18,0.3,Good,J,SI1,63.4,54.0,351.0,4.23,4.29,2.7,2,0,False
18,19,0.3,Good,J,SI1,63.8,56.0,351.0,4.23,4.26,2.71,2,0,False
19,20,0.3,Very Good,J,SI1,62.7,59.0,351.0,4.21,4.27,2.66,2,0,False
20,21,0.3,Good,I,SI2,63.3,56.0,351.0,4.26,4.3,2.71,1,1,False
21,22,0.23,Very Good,E,VS2,63.8,55.0,352.0,3.85,3.92,2.48,3,5,False
22,23,0.23,Very Good,H,VS1,61.0,57.0,353.0,3.94,3.96,2.41,4,2,False
23,24,0.31,Very Good,J,SI1,59.4,62.0,353.0,4.39,4.43,2.62,2,0,False
24,25,0.31,Very Good,J,SI1,58.1,62.0,353.0,4.44,4.47,2.59,2,0,False
25,26,0.23,Very Good,G,VVS2,60.4,58.0,354.0,3.97,4.01,2.41,5,3,False
26,27,0.24,Premium,I,VS1,62.5,57.0,355.0,3.97,3.94,2.47,4,1,False
27,28,0.3,Very Good,J,VS2,62.2,57.0,357.0,4.28,4.3,2.67,3,0,False
28,29,0.23,Very Good,D,VS2,60.5,61.0,357.0,3.96,3.97,2.4,3,6,False
29,30,0.23,Very Good,F,VS1,60.9,57.0,357.0,3.96,3.99,2.42,4,4,False
30,31,0.23,Very Good,F,VS1,60.0,57.0,402.0,4.0,4.03,2.41,4,4,False
31,32,0.23,Very Good,F,VS1,59.8,57.0,402.0,4.04,4.06,2.42,4,4,False
32,33,0.23,Very Good,E,VS1,60.7,59.0,402.0,3.97,4.01,2.42,4,5,False
33,34,0.23,Very Good,E,VS1,59.5,58.0,402.0,4.01,4.06,2.4,4,5,False
34,35,0.23,Very Good,D,VS1,61.9,58.0,402.0,3.92,3.96,2.44,4,6,False
35,36,0.23,Good,F,VS1,58.2,59.0,402.0,4.06,4.08,2.37,4,4,False
36,37,0.23,Good,E,VS1,64.1,59.0,402.0,3.83,3.85,2.46,4,5,False
