,Date/Time,Lat,Lon,Base_B02512,Base_B02598,Base_B02617,Base_B02682,Base_B02764,db_clusters
407121,2014-04-11 04:28:00,40.7447,-73.9912,0,0,0,1,0,0
450942,2014-04-17 12:16:00,40.7367,-73.9996,0,0,0,1,0,0
54516,2014-04-04 19:46:00,40.7724,-73.9556,0,1,0,0,0,0
306477,2014-04-25 23:57:00,40.7647,-73.9978,0,0,1,0,0,0
71861,2014-04-08 07:41:00,40.7793,-73.9492,0,1,0,0,0,0
461457,2014-04-18 18:18:00,40.7653,-73.918,0,0,0,1,0,0
437556,2014-04-15 17:36:00,40.7671,-73.9543,0,0,0,1,0,0
271604,2014-04-15 19:05:00,40.8073,-73.6337,0,0,1,0,0,-1
58581,2014-04-05 16:19:00,40.7443,-74.0072,0,1,0,0,0,0
286859,2014-04-20 09:46:00,40.769,-73.9566,0,0,1,0,0,0
374537,2014-04-06 17:50:00,40.7716,-73.9831,0,0,0,1,0,0
485994,2014-04-22 22:22:00,40.7607,-73.9862,0,0,0,1,0,0
536375,2014-04-29 15:19:00,40.7638,-73.9748,0,0,0,1,0,0
381139,2014-04-07 17:48:00,40.7632,-73.9737,0,0,0,1,0,0
35645,2014-04-01 04:26:00,40.7304,-73.9934,0,1,0,0,0,0
395936,2014-04-09 17:52:00,40.7192,-73.9541,0,0,0,1,0,0
208562,2014-04-30 11:15:00,40.758,-73.9797,0,1,0,0,0,0
238597,2014-04-05 22:30:00,40.7642,-73.9765,0,0,1,0,0,0
222500,2014-04-02 07:31:00,40.7801,-73.9594,0,0,1,0,0,0
431483,2014-04-14 17:58:00,40.6448,-73.7818,0,0,0,1,0,1
25733,2014-04-23 21:45:00,40.8398,-73.866,1,0,0,0,0,-1
195409,2014-04-28 18:42:00,40.7606,-73.9991,0,1,0,0,0,0
325137,2014-04-30 19:24:00,40.7455,-73.997,0,0,1,0,0,0
205263,2014-04-29 23:39:00,40.7221,-73.9873,0,1,0,0,0,0
230868,2014-04-04 08:46:00,40.7471,-73.9897,0,0,1,0,0,0
547120,2014-04-30 15:34:00,40.754,-73.9666,0,0,0,1,0,0
96685,2014-04-12 19:06:00,40.7127,-73.9585,0,1,0,0,0,0
354055,2014-04-04 14:59:00,40.7546,-73.9712,0,0,0,1,0,0
529613,2014-04-28 13:22:00,40.7185,-74.0108,0,0,0,1,0,0
397946,2014-04-09 22:09:00,40.7147,-73.9661,0,0,0,1,0,0
185322,2014-04-26 23:47:00,40.6886,-73.9166,0,1,0,0,0,0
208156,2014-04-30 10:26:00,40.7634,-73.9809,0,1,0,0,0,0
52101,2014-04-04 15:36:00,40.6955,-73.9918,0,1,0,0,0,0
248911,2014-04-08 21:25:00,40.7499,-73.9834,0,0,1,0,0,0
227296,2014-04-03 14:48:00,40.751,-73.9799,0,0,1,0,0,0
362457,2014-04-05 06:53:00,40.7534,-73.969,0,0,0,1,0,0
206436,2014-04-30 07:19:00,40.7371,-74.0038,0,1,0,0,0,0
185993,2014-04-27 00:56:00,40.7221,-73.9888,0,1,0,0,0,0
386323,2014-04-08 08:54:00,40.7305,-73.9906,0,0,0,1,0,0
319266,2014-04-29 19:42:00,40.7844,-73.9554,0,0,1,0,0,0
285217,2014-04-19 17:02:00,40.7093,-74.0165,0,0,1,0,0,0
469639,2014-04-19 23:16:00,40.8048,-73.9522,0,0,0,1,0,0
12036,2014-04-10 16:22:00,40.7506,-73.9772,1,0,0,0,0,0
413632,2014-04-11 20:49:00,40.7171,-73.9907,0,0,0,1,0,0
164737,2014-04-24 20:27:00,40.7575,-73.9903,0,1,0,0,0,0
176275,2014-04-26 00:35:00,40.7238,-73.9993,0,1,0,0,0,0
336941,2014-04-02 15:57:00,40.7704,-73.8671,0,0,0,1,0,0
471951,2014-04-20 14:06:00,40.6954,-73.9644,0,0,0,1,0,0
214546,2014-04-30 18:42:00,40.7351,-73.9873,0,1,0,0,0,0
74166,2014-04-08 17:28:00,40.741,-74.0076,0,1,0,0,0,0
166909,2014-04-25 02:57:00,40.7586,-73.9891,0,1,0,0,0,0
